,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
54,5,1,11,1,1,1,1097,66,80,36,96,Tax
55,5,1,11,1,1,2,1192,66,158,36,96,Invoice
56,5,1,11,1,1,3,1809,63,189,33,96,(ORIGINAL
57,5,1,11,1,1,4,2009,62,79,28,96,FOR
58,5,1,11,1,1,5,2098,63,236,60,3,RECIPIENT)
60,5,1,11,1,2,1,468,132,140,30,92,SHREE
61,5,1,11,1,2,2,622,131,295,31,96,ELECTRONICS
62,5,1,11,1,2,3,1307,119,114,27,0,sisi
63,5,1,11,1,2,4,1825,119,97,27,6,pane
65,5,1,11,1,3,1,468,178,95,37,93,Shop
66,5,1,11,1,3,2,577,177,93,35,89,"No:3,"
67,5,1,11,1,3,3,686,177,120,35,92,"386-C,"
68,5,1,11,1,3,4,820,177,107,30,92,Yatrik
69,5,1,11,1,3,5,940,177,152,38,96,"Building,"
70,5,1,11,1,3,6,1305,173,297,30,88,SE/21-22/00476
71,5,1,11,1,3,7,1824,174,173,29,95,29-Jul-21
73,5,1,11,1,4,1,294,212,44,86,77,GZ
74,5,1,11,1,4,2,469,222,80,30,92,New
75,5,1,11,1,4,3,563,222,128,30,91,Badam
76,5,1,11,1,4,4,703,221,102,36,92,"Wadi,"
77,5,1,11,1,4,5,819,222,75,29,92,V.P.
78,5,1,11,1,4,6,912,221,104,35,96,"Road,"
79,5,1,11,1,4,7,1307,218,131,34,96,Delivery
80,5,1,11,1,4,8,1450,218,76,27,96,Note
81,5,1,11,1,4,9,1825,218,206,27,90,Mode/Terms
82,5,1,11,1,4,10,2042,218,33,27,96,of
83,5,1,11,1,4,11,2084,218,145,34,96,Payment
84,5,1,11,1,4,12,2332,230,2,18,58,|
86,5,1,11,1,5,1,467,267,104,30,96,Grant
87,5,1,11,1,5,2,584,266,95,31,93,Road
88,5,1,11,1,5,3,694,266,62,38,93,"(E),"
89,5,1,11,1,5,4,773,266,143,31,96,Mumbai
90,5,1,11,1,5,5,1824,274,44,29,96,30
91,5,1,11,1,5,6,1881,274,97,37,95,Days
93,5,1,11,1,6,1,468,312,230,30,93,Maharashtra
94,5,1,11,1,6,2,711,328,14,5,92,-
95,5,1,11,1,6,3,735,311,147,35,96,"400004,"
96,5,1,11,1,6,4,899,311,86,30,96,India
97,5,1,11,1,6,5,1306,318,171,27,96,Reference
98,5,1,11,1,6,6,1490,319,54,26,93,No.
99,5,1,11,1,6,7,1558,318,24,27,93,&
100,5,1,11,1,6,8,1595,319,85,26,96,Date.
101,5,1,11,1,6,9,1824,318,93,27,96,Other
102,5,1,11,1,6,10,1928,318,187,27,96,References
104,5,1,11,1,7,1,468,356,216,30,91,GSTIN/UIN:
105,5,1,11,1,7,2,700,356,387,30,90,27AAGPM9738H1Z8
107,5,1,11,1,8,1,484,400,57,74,16,â_
108,5,1,11,1,8,2,577,401,107,29,84,Name
109,5,1,11,1,8,3,699,409,5,20,84,:
110,5,1,11,1,8,4,733,400,239,50,96,"Maharashtra,"
111,5,1,11,1,8,5,987,400,99,74,21,oe
112,5,1,11,1,8,6,1098,401,57,73,48,in
113,5,1,11,1,8,7,1306,418,120,33,60,Buyer's
114,5,1,11,1,8,8,1438,418,95,27,96,Order
115,5,1,11,1,8,9,1544,418,54,27,96,No.
116,5,1,11,1,8,10,1825,405,97,55,96,Dated
118,5,1,11,1,9,1,530,451,27,23,81,ail
119,5,1,11,1,9,2,576,452,5,22,88,:
120,5,1,11,1,9,3,593,444,501,38,90,sales@shreeelectronicsmumbai.
122,5,1,11,1,10,1,144,508,1,5,86,|
123,5,1,11,1,10,2,157,491,175,34,89,Consignee
124,5,1,11,1,10,3,345,490,84,34,96,(Ship
125,5,1,11,1,10,4,440,491,43,33,96,to)
126,5,1,11,1,10,5,1284,468,137,63,95,Verbal
127,5,1,11,1,10,6,1824,473,173,49,19,28-Jul-21
129,5,1,11,1,11,1,144,518,1,25,61,|
130,5,1,11,1,11,2,1306,517,142,34,96,Dispatch
131,5,1,11,1,11,3,1462,517,66,27,96,Doc
132,5,1,11,1,11,4,1540,517,53,28,96,No.
133,5,1,11,1,11,5,1825,517,130,34,96,Delivery
134,5,1,11,1,11,6,1968,517,77,28,96,Note
135,5,1,11,1,11,7,2057,517,76,28,96,Date
137,5,1,11,1,12,1,144,562,1,12,91,|
138,5,1,11,1,12,2,156,544,156,37,91,Samyak
139,5,1,11,1,12,3,326,544,310,30,96,Instrumentation
140,5,1,11,1,12,4,651,544,73,31,96,Pvt.
141,5,1,11,1,12,5,738,544,74,31,96,Ltd.
143,5,1,11,1,13,1,144,586,1,23,91,|
145,5,1,11,1,14,1,160,585,194,90,15,ewneser
146,5,1,11,1,14,2,363,585,150,90,13,Monae
147,5,1,11,1,14,3,637,589,86,38,38,One.
148,5,1,11,1,14,4,740,589,70,31,15,Aaa
149,5,1,11,1,14,5,825,590,105,30,0,rewol
150,5,1,11,1,14,6,945,590,113,37,69,"Purp,"
151,5,1,11,1,14,7,1306,618,185,33,96,Dispatched
152,5,1,11,1,14,8,1502,618,127,34,96,through
153,5,1,11,1,14,9,1824,618,186,27,96,Destination
155,5,1,11,1,15,1,144,678,147,37,8,Gujarat
156,5,1,11,1,15,2,303,695,13,4,93,-
157,5,1,11,1,15,3,329,679,145,34,96,"380052,"
158,5,1,11,1,15,4,491,679,87,30,96,India
159,5,1,11,1,15,5,1305,672,60,30,96,SM
160,5,1,11,1,15,6,1823,673,66,29,94,ADI
162,5,1,11,1,16,1,144,722,218,30,23,|GSTIN/UIN
163,5,1,11,1,16,2,497,730,5,22,88,:
164,5,1,11,1,16,3,527,723,382,31,90,24AAECS6597H1ZY
165,5,1,11,1,16,4,1304,720,105,28,96,Terms
166,5,1,11,1,16,5,1420,720,32,27,96,of
167,5,1,11,1,16,6,1463,721,132,34,96,Delivery
169,5,1,11,1,17,1,156,767,94,30,96,State
170,5,1,11,1,17,2,265,768,107,29,96,Name
171,5,1,11,1,17,3,497,775,5,22,91,:
172,5,1,11,1,17,4,528,767,143,39,95,"Gujarat,"
173,5,1,11,1,17,5,686,767,98,31,93,Code
174,5,1,11,1,17,6,798,775,6,23,91,:
175,5,1,11,1,17,7,819,768,45,30,96,24
176,5,1,11,1,17,8,1305,773,82,31,96,PAS
178,5,1,11,1,18,1,143,812,141,36,56,|Contact
179,5,1,11,1,18,2,296,819,112,25,96,person
180,5,1,11,1,18,3,498,820,5,18,89,:
181,5,1,11,1,18,4,528,813,40,29,95,Mr.
182,5,1,11,1,18,5,580,813,101,31,93,Rakesh
183,5,1,11,1,18,6,690,814,108,30,91,Gandhi/
184,5,1,11,1,18,7,807,814,54,29,93,Mrs.
185,5,1,11,1,18,8,873,814,90,37,93,Jagruti
186,5,1,11,1,18,9,974,814,98,30,96,Parmar
188,5,1,11,1,19,1,143,864,1,4,93,|
189,5,1,11,1,19,2,156,855,128,27,96,Contact
190,5,1,11,1,19,3,498,864,5,18,46,>
191,5,1,11,1,19,4,528,858,319,35,88,"+91-079-27495500,"
192,5,1,11,1,19,5,861,858,203,30,96,9898190500
